DateTime,Temperature,Rain,WindSpeed,Humidity,Demand,Hour,DayOfWeek,Month
01-01-2022 00:00,7.1,0,7.6,91,2024.56,0,5,1
01-01-2022 01:00,6.8,0,7.1,92,1795.53,1,5,1
01-01-2022 02:00,6.4,0,7.6,93,1654.96,2,5,1
01-01-2022 03:00,6.3,0,6.8,93,1583.93,3,5,1
01-01-2022 04:00,6.2,0,6.6,94,1641.72,4,5,1
01-01-2022 05:00,6.2,0,8,95,1910.09,5,5,1
01-01-2022 06:00,5.9,0,7.7,95,2518.63,6,5,1
01-01-2022 07:00,5.6,0,6.9,96,3289.54,7,5,1
01-01-2022 08:00,7.4,0,8.9,91,3921.81,8,5,1
01-01-2022 09:00,10.1,0,6.3,82,4214.03,9,5,1
01-01-2022 10:00,13,0,6.8,72,4434.96,10,5,1
01-01-2022 11:00,15.2,0,8.1,63,4351.7,11,5,1
01-01-2022 12:00,16.6,0,8.1,55,3998.65,12,5,1
01-01-2022 13:00,17.5,0,6.9,50,3553.99,13,5,1
01-01-2022 14:00,18,0,7.2,48,3272.15,14,5,1
01-01-2022 15:00,18,0,6.9,48,3048,15,5,1
01-01-2022 16:00,17.1,0,5,56,2978.41,16,5,1
01-01-2022 17:00,16.2,0,5,59,3107.56,17,5,1
01-01-2022 18:00,13,0,6.9,74,3286.82,18,5,1
01-01-2022 19:00,11.3,0,8.3,82,3204.24,19,5,1
01-01-2022 20:00,10.7,0,7.6,85,3045.67,20,5,1
01-01-2022 21:00,9.7,0,8,87,2882.11,21,5,1
01-01-2022 22:00,8.6,0,9.1,91,2610.17,22,5,1
01-01-2022 23:00,8,0,8.9,92,2181.21,23,5,1
02-01-2022 00:00,7.7,0,8.2,93,1813.69,0,6,1
02-01-2022 01:00,7.4,0,7.6,94,1595.92,1,6,1
02-01-2022 02:00,7.1,0,7.4,94,1497.11,2,6,1
02-01-2022 03:00,6.9,0,7.1,94,1467.48,3,6,1
02-01-2022 04:00,6.8,0,6.5,94,1510.57,4,6,1
02-01-2022 05:00,7.2,0,7.4,96,1724.48,5,6,1
02-01-2022 06:00,6.6,0,6.8,97,2174.58,6,6,1
02-01-2022 07:00,6.6,0,6.6,97,2827.55,7,6,1
02-01-2022 08:00,8.5,0,8.7,92,3426.97,8,6,1
02-01-2022 09:00,11.1,0,5.4,84,3777.98,9,6,1
02-01-2022 10:00,13.8,0,5.6,74,4055.4,10,6,1
02-01-2022 11:00,16.1,0,6,65,3972.38,11,6,1
02-01-2022 12:00,17.4,0,6.8,59,3732.61,12,6,1
02-01-2022 13:00,18.2,0,7.4,54,3303.82,13,6,1
02-01-2022 14:00,18.7,0,7.8,51,3086.87,14,6,1
02-01-2022 15:00,18.6,0,7.9,51,2897.79,15,6,1
02-01-2022 16:00,17.8,0,5.4,57,2856.76,16,6,1
02-01-2022 17:00,14.1,0,8.7,76,3057.64,17,6,1
02-01-2022 18:00,13.2,0,7.4,80,3312.3,18,6,1
02-01-2022 19:00,12.8,0,8.4,80,3253.85,19,6,1
02-01-2022 20:00,11.9,0,8,82,3086.75,20,6,1
02-01-2022 21:00,10.7,0,7.4,87,2919.94,21,6,1
02-01-2022 22:00,9.7,0,7.4,89,2634.18,22,6,1
02-01-2022 23:00,9.1,0,7.7,91,2177.09,23,6,1
03-01-2022 00:00,8.2,0,8.9,93,1807.66,0,0,1
03-01-2022 01:00,7.6,0,9.4,94,1599.33,1,0,1
03-01-2022 02:00,7.6,0,7.2,94,1514.65,2,0,1
03-01-2022 03:00,7.5,0,6.4,93,1479.65,3,0,1
03-01-2022 04:00,7.2,0,6.2,94,1536.54,4,0,1
03-01-2022 05:00,7.4,0,7.5,94,1823.52,5,0,1
03-01-2022 06:00,7.3,0,8.2,95,2428.67,6,0,1
03-01-2022 07:00,7.4,0,7.8,95,3324.04,7,0,1
